uid,text_info
100263,1932 Phyllis Mudford King d. Louise Bull 6-0 6-1
100264,1936 Valerie Scott d. Betty Hobson 3-6 6-4 10-8
100265,1937 Valerie Scott d. Betty Smith 5-7 6-3 6-2
100266,1938 Valerie Scott d. Thelma Jarvis 6-1 4-6 6-4
100267,1905 Marie Dufrenoy
100268,1914 Anita Heimann Lent (Ger) d. Anne de Selliers de Borman 6-4 6-1
100269,1930 Simone Passemard Mathieu (Fra) d. Josane Sigart 6-2 6-4
100270,1954 Myriam Van Custem d. Josefa de Riba (Esp) 6-2 6-3
100271,1957 Heather Nicholls Brewer (Ber) d. Christiane Mercelis 3-6 6-4 6-1
100272,1958 Lorraine Coghlan (Aus) d. Yola Ramirez (Mex) 6-2 6-0
100273,1959 Yola Ramirez (Mex) d. Rosie Reyes (Mex) 6-3 6-0
100274,1960 Darlene Hard (US) led Maria Bueno (Bra) 10-9 when play stopped. Title was divided.
100275,1961 Elizabeth Starkie (GB) d. Christiane Mercelis 6-2 6-4
100276,1966 Nell Truman (GB) d. Christiane Mercelis 7-5 6-4
100277,2002 Venus Williams (US) d. Justine Henin (Bel) 6-3 5-7 6-3
100278,2003 Venus Williams (US) d. Kim Clijsters (Bel) 6-2 6-4
100279,2004 Kim Clijsters (Bel) d. Silvia Farina (Ita) 6-3 6-0
100280,2005 Amelie Mauresmo (Fra) d. Venus Williams (US) 4-6 7-5 6-4
100281,2006 Amelie Mauresmo (Fra) d. Kim Clijsters (Bel) 3-6 6-3 6-3
100282,2007 Amelie Mauresmo (Fra) d. Kim Clijsters (Bel) 6-4 7-6
100283,2008 Justine Henin (Bel) d. Karin Knapp (Ita) 6-3 6-3
100284,2015 Andrea Petkovic (Ger) d. Carla Suarez-Navarro (Esp) walkover
100285,1916 Adelaide Browning Green d. Grace Moore LeRoy 6-0 6-2
100286,1917 Molla Bjurstedt (Nor) d. Marie Wagner 5-7 7-5 6-3
100287,1918 Molla Bjurstedt (Nor) d. Adelaide Browning Green 4-6 6-1 6-2
100288,1919 Clare Cassel d. Natalie Browning 6-4 6-1
100289,1920 Louise Hammond Raymond d. Marie Wagner 7-5 6-2
100290,1921 Molla Bjurstedt Mallory d. Louise Hammond Raymond 6-4 6-2
100291,1922 Molla Bjurstedt Mallory d. Mary K. Browne 6-1 2-6 7-5
100292,1923 Molla Bjurstedt Mallory d. Geraldine Ramsey Beamish (GB) 3-6 6-1 6-0
100293,1924 Molla Bjurstedt Mallory d. Adelaide Browning Green 6-0 6-1
100294,1925 Molla Bjurstedt Mallory d. Marion Zinderstein Jessup 6-1 6-4
100295,1927 Alice Francis d. Louise Hammond Raymond 6-1 6-4
100296,1928 Clara Greenspan d. Alice Francis 2-6 6-3 6-4
100297,1929 Norma Taubele d. Ellice Mack Endicott 6-4 1-6 6-2
100298,1930 Norma Taubele d. Alice Francis 7-5 3-6 13-11
